7.16865e-05,5.12276e-05,6.13726e-05,6.44441e-05,5.38864e-05,3.99589e-05,4.503e-05,5.53374e-05,4.57248e-05,2.15441e-05,2.84262e-05,4.10395e-05
0.000140098,0.000118809,0.000112561,0.000157089,0.000186737,0.000120533,0.000133925,0.000135611,0.000152266,0.000135542,0.000128447,0.000131887
0.000176092,0.00014936,0.00010463,0.000132907,0.000235859,0.000167132,7.39767e-05,0.000124722,0.000107115,0.000111794,0.000136665,0.000108241
0.000145318,0.000152543,0.000113756,0.000163563,0.000168865,0.000169614,0.000158302,0.000113102,9.81627e-05,9.40365e-05,0.000100702,8.47893e-05
0.000171863,0.000184261,0.000194778,0.000130139,0.00010633,0.000115343,0.00014871,0.000139262,0.000135073,0.000125278,9.78164e-05,0.000160287
0.000122661,0.000150772,0.00013309,0.000112853,9.37462e-05,8.84762e-05,0.000136192,0.000141931,0.000103742,0.000130176,0.000130336,0.000135166
0.000147682,0.000108042,0.000123708,0.000150453,0.000202617,0.000168214,0.000138485,0.000121739,0.000123466,0.000165111,0.000177397,0.000174729
0.000148528,0.000203015,0.000155356,0.000106367,0.000184238,0.000140752,0.000145629,0.000199962,0.000162635,0.000117357,0.0002059,0.000212905
0.000165238,0.000228636,0.000198238,0.000142879,0.000188861,0.000182346,0.000106467,0.000186658,0.000168843,0.000148655,0.000141671,0.000188824
0.000148191,0.000162693,0.000177049,0.00016301,0.000177036,0.000119289,0.000176633,0.000202744,0.000172423,0.000160165,0.000205572,0.000150606
0.00014508,0.000147569,0.000131773,0.000152704,0.000154006,9.84982e-05,0.000161485,0.000116767,0.000204014,0.000186014,0.000174022,0.000146276
0.000226201,0.000287597,0.000285127,0.000201523,0.000165331,0.000189141,0.000239274,0.000199366,0.00014258,8.95192e-05,0.000162208,0.000161378
0.000186701,0.000156075,0.000176795,0.000152849,0.000153656,0.000140204,0.000121912,0.000139177,0.000117187,0.000156163,0.000173572,0.000169389
0.000179893,0.000166064,0.000155677,0.00016637,0.0002034,0.000243151,0.000158745,0.000143311,0.00013813,0.000238531,0.000215783,0.000154738
0.000200382,0.000221563,0.000200982,0.000105794,0.000223701,0.000303698,0.00024656,0.000169685,0.000179502,0.000164568,0.000276036,0.00027014
0.000203651,0.000137229,0.000220299,0.000205861,0.000204086,0.000257879,0.000205524,0.000193843,0.000170907,0.000218412,0.00026259,0.000229607
0.000173412,0.000279457,0.000277064,0.000166458,0.00018582,0.000225106,0.000295791,0.000217736,0.000220322,0.00020613,0.000243768,0.000266631
0.000248446,0.000248844,0.000224192,0.000183245,0.000245727,0.000212909,0.000278603,0.000249201,0.000238579,0.00022877,0.000285719,0.000282966
0.00020997,0.000167368,0.000233084,0.000267171,0.000217493,0.000250599,0.000280878,0.000287273,0.000353539,0.000331571,0.000268504,0.000318346
