-17.153,1.18461,-0.277808,0.719959,0.176941,0.169019,0.0346796,0.00761634,-0.451061,-0.679626,-0.105132,-0.152343,-0.0147032,-0.0373339,0.00996353,-0.0990175,-0.184974,-0.0388579,0.0717939,-0.0865734
-12.6852,1.55495,-0.387872,0.564879,-0.252456,0.180876,-0.155819,0.220389,-0.308567,-0.229616,0.00464682,0.0183811,0.320917,0.226029,0.0508866,-0.14298,-0.0967551,-0.275518,0.0466415,-0.110475
-18.1811,1.10086,-0.156861,0.368302,0.00545424,-0.0488079,0.191509,0.333592,-0.0114351,0.0520845,0.0356465,0.136961,0.121304,0.25298,0.0324645,-0.0663744,-0.12997,-0.0851391,0.0134671,0.114132
-18.9507,1.12989,0.0778894,0.506796,0.135415,0.317935,0.0413109,0.326932,0.174635,0.112992,0.0544511,-0.132272,-0.0910261,-0.155491,-0.240399,-0.225354,0.105896,-0.0132802,0.0177133,0.276046
-19.2019,1.14102,-0.0211335,0.558442,0.0982658,0.241914,-0.0614843,-0.0590737,0.0566088,-0.022413,-0.0661247,0.0881462,0.0978977,0.176261,0.2381,0.280757,0.0977414,0.141637,0.0441772,0.128915
-19.0884,1.33596,0.21898,0.464752,-0.236628,0.0796722,0.178314,0.340264,0.00574152,0.00824354,0.117701,0.0232002,-0.109998,-0.143611,0.124625,0.363981,0.0924303,0.0904551,0.0332648,-0.119481
-19.0728,1.52013,0.0493669,0.386975,-0.127392,0.112142,0.0722226,0.327233,0.0769584,0.267448,0.269809,0.0479242,-0.187039,-0.137307,-0.0437417,0.148532,0.187088,-0.0206745,-0.2069,-0.109453
-19.3106,1.11345,0.330945,0.466008,0.135515,-0.123782,-0.182148,0.188943,-0.131104,0.128559,0.201208,-0.0584692,0.167289,0.16322,-0.0556444,-0.086403,0.0806623,0.0214161,0.0417368,0.0351686
-19.1115,1.21451,-0.0520387,0.559545,0.235788,0.0881103,0.173155,0.314748,0.0173468,0.0202748,-0.156597,-0.0273115,0.230345,0.033419,0.109914,0.0718409,0.0869573,0.273228,-0.116824,0.168851
-19.5163,1.08497,-0.032585,0.239823,0.120158,0.20943,0.00589291,0.772844,0.203259,-0.443,-0.217604,-0.0738384,-0.0394325,0.217767,0.116288,0.288145,-0.123656,-0.125906,-0.186378,-0.0820386
-19.3577,1.17061,0.205464,0.515735,0.0836361,0.395384,0.246582,0.289432,-0.169407,0.0518118,-0.219193,0.0291154,0.256974,0.259411,-0.00963223,-0.0494329,0.0165401,0.129874,0.0722167,-0.343449
-19.6667,1.06588,-0.00933697,0.490048,-0.0366538,0.0239643,0.175774,0.299565,0.114228,0.170215,-0.212968,0.0604591,-0.0972159,0.149808,0.0443652,0.00859454,0.181473,0.149169,-0.155118,-0.146172
-19.4894,1.24824,-0.0389473,0.470374,0.184165,0.209498,-0.0405933,0.172556,0.148477,0.410396,-0.0214219,0.0730963,-0.0663717,-0.117282,-0.0421712,0.21382,-0.0481652,-0.129913,0.0445197,0.0176818
-19.5417,1.43719,0.168853,0.556255,-0.0400112,0.095818,-0.222735,0.236282,0.0677925,0.0432287,-0.085087,0.0131489,-0.0411406,0.124886,-0.0170219,0.0394694,-0.0899448,-0.00392714,-0.0889835,-0.298857
-19.7285,1.48136,0.035958,0.605628,0.0746647,-0.0962324,-0.204054,0.169086,-0.102634,0.118287,-0.0139285,-0.0355635,0.15566,0.199995,-0.0101822,0.123574,0.142261,0.0755422,0.145102,0.036795
-19.9724,1.79,0.10484,0.34043,-0.0930142,0.323887,0.198879,0.321619,-0.00220191,0.0511973,-0.02176,0.188321,-0.152934,-0.0553556,0.24719,0.114813,-0.0791885,0.0212678,0.120527,0.0904002
-20.0953,1.64495,0.0977917,0.64063,-0.0221165,-0.0195487,0.152364,0.526806,-0.219252,0.115154,0.19583,0.208409,0.139718,-0.19271,0.0164262,-0.245954,-0.157019,-0.0415285,-0.086013,0.279258
